Hash_Key1      Hash_Key2      Size
44             17             424            
44             18             560            
44             19             713            
44             20             510            
44             21             690            
44             22             900            
44             23             1131           
44             24             764            
44             25             1020           
44             26             1320           
44             27             1645           
44             28             1071           
44             29             1414           
44             30             1820           
44             31             2255           
44             32             1432           
44             33             1872           
44             34             2400           
44             35             2961           
44             36             1848           
44             37             2394           
44             38             3060           
44             39             3763           
44             40             2383           
44             41             3044           
44             42             3864           
44             43             4725           
45             0              0              
45             1              0              
45             2              0              
45             3              1              
45             4              4              
45             5              10             
45             6              20             
45             7              35             
45             8              56             
45             9              84             
45             10             120            
45             11             165            
45             12             156            
45             13             223            
45             14             300            
45             15             391            
45             16             304            
45             17             428            
45             18             560            
45             19             713            
45             20             500            
45             21             700            
45             22             900            
45             23             1131           
45             24             744            
45             25             1040           
45             26             1320           
45             27             1645           
45             28             1036           
45             29             1449           
45             30             1820           
45             31             2255           
45             32             1376           
45             33             1928           
45             34             2400           
45             35             2961           
45             36             1764           
45             37             2478           
45             38             3060           
45             39             3763           
45             40             2264           
45             41             3163           
45             42             3864           
45             43             4725           
45             44             13244          
46             0              0              
46             1              0              
46             2              0              
46             3              1              
46             4              4              
46             5              10             
46             6              20             
46             7              35             
46             8              56             
46             9              84             
46             10             120            
46             11             165            
46             12             156            
46             13             222            
46             14             301            
46             15             391            
46             16             304            
46             17             424            
46             18             564            
46             19             713            
46             20             500            
46             21             690            
46             22             910            
46             23             1131           
46             24             744            
46             25             1020           
46             26             1340           
46             27             1645           
46             28             1036           
46             29             1414           
46             30             1855           
46             31             2255           
46             32             1376           
46             33             1872           
46             34             2456           
46             35             2961           
46             36             1764           
46             37             2394           
46             38             3144           
46             39             3763           
46             40             2264           
46             41             3044           
46             42             3983           
46             43             4725           
46             44             13244          
46             45             14190          
47             0              0              
47             1              0              
47             2              0              
47             3              1              
47             4              4              
47             5              10             
47             6              20             
47             7              35             
47             8              56             
47             9              84             
47             10             120            
47             11             165            
47             12             156            
47             13             222            
47             14             300            
47             15             392            
47             16             304            
47             17             424            
47             18             560            
47             19             717            
47             20             500            
47             21             690            
47             22             900            
47             23             1141           
47             24             744            
47             25             1020           
47             26             1320           
47             27             1665           
47             28             1036           
47             29             1414           
47             30             1820           
47             31             2290           
47             32             1376           
47             33             1872           
47             34             2400           
47             35             3017           
47             36             1764           
47             37             2394           
47             38             3060           
47             39             3847           
47             40             2264           
47             41             3044           
47             42             3864           
47             43             4844           
47             44             13244          
47             45             14190          
47             46             15180          
48             0              0              
48             1              0              
48             2              0              
48             3              1              
48             4              4              
48             5              10             
48             6              20             
48             7              35             
48             8              56             
48             9              84             
48             10             120            
48             11             165            
48             12             220            
48             13             286            
48             14             364            
48             15             455            
48             16             308            
48             17             424            
48             18             560            
48             19             713            
48             20             510            
48             21             690            
48             22             900            
48             23             1131           
48             24             764            
48             25             1020           
48             26             1320           
48             27             1645           
48             28             1071           
48             29             1414           
48             30             1820           
48             31             2255           
48             32             1432           
48             33             1872           
48             34             2400           
48             35             2961           
48             36             1848           
48             37             2394           
48             38             3060           
48             39             3763           
48             40             2320           
48             41             2980           
48             42             3800           
48             43             4661           
48             44             2912           
48             45             3694           
48             46             4684           
48             47             5719           
49             0              0              
49             1              0              
49             2              0              
49             3              1              
49             4              4              
49             5              10             
49             6              20             
49             7              35             
49             8              56             
49             9              84             
49             10             120            
49             11             165            
49             12             220            
49             13             286            
49             14             364            
49             15             455            
49             16             304            
49             17             428            
49             18             560            
49             19             713            
49             20             500            
49             21             700            
49             22             900            
49             23             1131           
49             24             744            
49             25             1040           
49             26             1320           
49             27             1645           
49             28             1036           
49             29             1449           
49             30             1820           
49             31             2255           
49             32             1376           
49             33             1928           
49             34             2400           
49             35             2961           
49             36             1764           
49             37             2478           
49             38             3060           
49             39             3763           
49             40             2200           
49             41             3100           
49             42             3800           
49             43             4661           
49             44             2748           
49             45             3858           
49             46             4684           
49             47             5719           
49             48             17232          
50             0              0              
50             1              0              
50             2              0              
50             3              1              
50             4              4              
50             5              10             
50             6              20             
50             7              35             
50             8              56             
50             9              84             
50             10             120            
50             11             165            
50             12             220            
50             13             286            
50             14             364            
50             15             455            
50             16             304            
50             17             424            
50             18             564            
50             19             713            
50             20             500            
50             21             690            
50             22             910            
50             23             1131           
50             24             744            
50             25             1020           
50             26             1340           
50             27             1645           
50             28             1036           
50             29             1414           
50             30             1855           
50             31             2255           
50             32             1376           
50             33             1872           
50             34             2456           
50             35             2961           
50             36             1764           
50             37             2394           
50             38             3144           
50             39             3763           
50             40             2200           
50             41             2980           
50             42             3920           
50             43             4661           
50             44             2748           
50             45             3694           
50             46             4848           
50             47             5719           
50             48             17296          
50             49             18424          
51             0              0              
51             1              0              
51             2              0              
51             3              1              
51             4              4              
51             5              10             
51             6              20             
